user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
G5_2.bin.35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	GCA_900066215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	98.17	0.83	GCA_900066215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	98.17	0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001941225.1, s__CAG-41 sp001941225, 95.0, 78.21, 0.36	93.85	11	N/A	N/A
G5_2.bin.36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	GCA_003476825.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	98.41	0.8	GCA_003476825.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	98.41	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900167555.1, s__Gemmiger formicilis, 95.0, 79.79, 0.4; GCA_002306375.1, s__Gemmiger sp002306375, 95.0, 78.75, 0.37; GCF_000157955.1, s__Gemmiger variabile, 95.0, 78.65, 0.38	78.59	11	N/A	N/A
G5_2.bin.51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii	GCF_000173975.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii	98.42	0.75	GCF_000173975.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii	98.42	0.75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900209925.1, s__Eubacterium_E hallii_A, 95.0, 86.49, 0.61; GCF_002161065.1, s__Eubacterium_E sp002161065, 95.0, 78.24, 0.12; GCF_900016875.1, s__Eubacterium_E sp900016875, 95.0, 78.19, 0.12; GCA_002494165.1, s__Eubacterium_E sp002494165, 95.0, 77.65, 0.04	88.1	11	N/A	N/A
G5_2.bin.54	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus	GCA_000210555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus	97.82	0.91	GCA_000210555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus	97.82	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.71	11	N/A	N/A
G5_2.bin.56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	GCA_900066165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	97.86	0.88	GCA_900066165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	97.86	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900066145.1, s__Blautia_A sp900066145, 95.0, 84.05, 0.66; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 79.82, 0.29; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 79.75, 0.31; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 79.73, 0.26; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 79.57, 0.25; GCA_900066205.1, s__Blautia_A sp900066205, 95.0, 79.53, 0.28; GCA_900066335.1, s__Blautia_A sp900066335, 95.0, 79.51, 0.26; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 79.44, 0.24; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 79.35, 0.25; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 79.14, 0.29; GCA_900066505.1, s__Blautia_A sp900066505, 95.0, 79.09, 0.29; GCF_000153905.1, s__Blautia_A obeum, 95.0, 79.05, 0.25; GCA_000433815.1, s__Blautia_A sp000433815, 95.0, 78.02, 0.21; GCA_000436615.1, s__Blautia_A sp000436615, 95.0, 77.92, 0.23; GCF_000702025.1, s__Blautia_A schinkii, 95.0, 77.84, 0.21; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 76.91, 0.07; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 76.9, 0.1	72.8	11	N/A	Genome has more than 11.7% of markers with multiple hits
G5_2.bin.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes	GCF_000155875.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes	97.78	0.75	GCF_000155875.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes	97.78	0.75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	79.4	11	N/A	Genome has more than 16.7% of markers with multiple hits
G6_2.bin.13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	GCF_000785515.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	96.26	0.84	GCF_000785515.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	96.26	0.84	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001556435.1, s__Streptococcus sp001556435, 95.0, 94.94, 0.75; GCA_003521145.1, s__Streptococcus sp003521145, 95.0, 93.31, 0.65; GCF_000188295.1, s__Streptococcus vestibularis, 95.0, 91.62, 0.7; GCF_000014485.1, s__Streptococcus thermophilus, 95.0, 89.02, 0.69; GCF_000187445.1, s__Streptococcus sp000187445, 95.0, 88.53, 0.78; GCF_001074805.1, s__Streptococcus parasanguinis_A, 95.0, 81.4, 0.2; GCF_000963275.1, s__Streptococcus parasanguinis_B, 95.0, 81.35, 0.21; GCA_000180035.1, s__Streptococcus parasanguinis_C, 95.0, 81.09, 0.2; GCF_000164675.2, s__Streptococcus parasanguinis, 95.0, 81.08, 0.2; GCF_001073155.1, s__Streptococcus parasanguinis_D, 95.0, 81.07, 0.23; GCA_000448565.1, s__Streptococcus sp000448565, 95.0, 80.97, 0.24; GCF_000314795.2, s__Streptococcus sp000314795, 95.0, 80.85, 0.21; GCF_001587175.1, s__Streptococcus sp001587175, 95.0, 80.45, 0.18; GCF_000479315.1, s__Streptococcus sp000479315, 95.0, 80.39, 0.18; GCF_000186465.1, s__Streptococcus australis, 95.0, 80.0, 0.19; GCF_001579645.1, s__Streptococcus infantis_E, 95.0, 79.64, 0.18; GCF_001073085.1, s__Streptococcus pseudopneumoniae_M, 95.0, 79.59, 0.21; GCF_000385925.1, s__Streptococcus cristatus_B, 95.0, 79.33, 0.13; GCF_000154985.1, s__Streptococcus infantarius, 95.0, 79.24, 0.22; GCF_000222765.1, s__Streptococcus cristatus, 95.0, 79.18, 0.13; GCA_001578795.1, s__Streptococcus gordonii_A, 95.0, 79.0, 0.11; GCF_002096595.1, s__Streptococcus oralis_D, 95.0, 78.99, 0.18; GCF_002386345.1, s__Streptococcus oralis_S, 95.0, 78.97, 0.17; GCF_000283635.1, s__Streptococcus macedonicus, 96.32, 78.97, 0.22; GCF_900475675.1, s__Streptococcus lutetiensis, 95.0, 78.96, 0.21; GCF_001579525.1, s__Streptococcus oralis_M, 95.0, 78.95, 0.17; GCF_900101445.1, s__Streptococcus equinus_B, 95.0, 78.92, 0.21; GCF_002096435.1, s__Streptococcus oralis_AA, 95.0, 78.92, 0.16; GCF_002000985.1, s__Streptococcus gallolyticus, 96.32, 78.9, 0.22; GCF_001579025.1, s__Streptococcus oralis_X, 95.0, 78.83, 0.16; GCF_001588645.1, s__Streptococcus oralis_AB, 95.0, 78.82, 0.18; GCA_002393675.1, s__Streptococcus sp002393675, 95.0, 78.81, 0.21; GCF_001075675.1, s__Streptococcus oralis_V, 95.0, 78.8, 0.16; GCF_002014885.1, s__Streptococcus oralis, 95.0, 78.8, 0.17; GCF_002096445.1, s__Streptococcus oralis_N, 95.0, 78.73, 0.16; GCF_001553855.1, s__Streptococcus gordonii, 95.0, 78.68, 0.11; GCF_001578775.1, s__Streptococcus cristatus_A, 95.0, 78.68, 0.12; GCF_900104225.1, s__Streptococcus equinus_D, 95.0, 78.67, 0.23; GCF_000767835.1, s__Streptococcus sinensis, 95.0, 78.66, 0.12; GCF_000188315.1, s__Streptococcus dysgalactiae, 95.0, 78.62, 0.12; GCF_000187265.1, s__Streptococcus equinus, 95.0, 78.56, 0.21; GCF_000188015.2, s__Streptococcus ictaluri, 95.0, 78.55, 0.12; GCF_000420785.1, s__Streptococcus hyovaginalis, 95.0, 78.49, 0.14; GCF_000220065.1, s__Streptococcus sp000220065, 95.0, 78.45, 0.12; GCA_002300045.1, s__Streptococcus sp002300045, 95.0, 78.44, 0.18; GCF_900475595.1, s__Streptococcus uberis, 95.0, 78.4, 0.1; GCF_000194945.1, s__Streptococcus sanguinis, 95.0, 78.36, 0.1; GCF_000186445.1, s__Streptococcus agalactiae, 95.0, 78.31, 0.13; GCF_000376985.1, s__Streptococcus henryi, 95.0, 78.3, 0.23; GCF_900478025.1, s__Streptococcus pasteurianus, 96.18, 78.29, 0.2; GCF_002953735.1, s__Streptococcus pluranimalium, 95.0, 78.28, 0.16; GCF_000188035.1, s__Streptococcus pseudoporcinus, 95.0, 78.28, 0.1; GCF_000188055.2, s__Streptococcus urinalis, 95.0, 78.22, 0.1; GCF_001885095.1, s__Streptococcus bovimastitidis, 95.0, 78.22, 0.13; GCF_000268305.3, s__Streptococcus canis, 95.0, 78.18, 0.11; GCF_001921845.1, s__Streptococcus cuniculi, 95.0, 78.18, 0.09; GCF_000379985.1, s__Streptococcus caballi, 95.0, 78.13, 0.18; GCF_001578885.1, s__Streptococcus sp001578885, 95.0, 78.12, 0.1; GCF_000423745.1, s__Streptococcus plurextorum, 95.0, 78.11, 0.11; GCF_002055535.1, s__Streptococcus pyogenes, 95.0, 78.11, 0.12; GCF_000380105.1, s__Streptococcus orisratti, 95.0, 78.09, 0.16; GCF_000212855.1, s__Streptococcus sanguinis_A, 95.0, 78.09, 0.11; GCF_001078705.1, s__Streptococcus sanguinis_D, 95.0, 78.05, 0.11; GCA_001697145.1, s__Streptococcus anginosus_C, 95.0, 78.05, 0.12; GCF_900475415.1, s__Streptococcus porcinus, 95.0, 78.05, 0.11; GCF_000425025.1, s__Streptococcus castoreus, 95.0, 78.0, 0.1; GCF_000212815.1, s__Streptococcus sanguinis_C, 95.0, 78.0, 0.11; GCF_002088025.1, s__Streptococcus anginosus, 95.0, 77.98, 0.11; GCF_000257785.1, s__Streptococcus constellatus, 95.0, 77.97, 0.1; GCF_001595425.1, s__Streptococcus iniae, 95.0, 77.94, 0.12; GCF_000380005.1, s__Streptococcus didelphis, 95.0, 77.92, 0.09; GCF_000423765.1, s__Streptococcus porci, 95.0, 77.9, 0.16; GCF_000380145.1, s__Streptococcus thoraltensis, 95.0, 77.86, 0.17; GCF_000187935.1, s__Streptococcus parauberis, 95.0, 77.81, 0.13; GCF_900110405.1, s__Streptococcus equi, 95.0, 77.76, 0.1; GCF_002887775.1, s__Streptococcus penaeicida, 95.0, 77.76, 0.14; GCF_000686605.1, s__Streptococcus sobrinus, 95.0, 77.73, 0.12; GCF_000423725.1, s__Streptococcus devriesei, 95.0, 77.65, 0.11; GCF_001937065.1, s__Streptococcus sp001937065, 95.0, 77.65, 0.11; GCF_001598035.1, s__Streptococcus halotolerans, 95.0, 77.63, 0.14; GCF_001708305.1, s__Streptococcus himalayensis, 95.0, 77.62, 0.09; GCA_003240915.1, s__Streptococcus pyogenes_A, 95.0, 77.61, 0.06; GCF_000372425.1, s__Streptococcus ferus, 95.0, 77.55, 0.1; GCF_001623565.1, s__Streptococcus marmotae, 95.0, 77.49, 0.11; GCA_002355215.1, s__Streptococcus troglodytae, 95.0, 77.46, 0.15; GCF_000286075.1, s__Streptococcus ratti, 95.0, 77.45, 0.13; GCF_000785785.1, s__Streptococcus uberis_A, 95.0, 77.41, 0.13; GCF_000413475.1, s__Streptococcus intermedius, 95.0, 77.37, 0.1; GCF_001302265.1, s__Streptococcus phocae, 95.0, 77.31, 0.11; GCF_000187975.2, s__Streptococcus criceti, 95.0, 77.25, 0.13; GCF_001431045.1, s__Streptococcus orisasini, 95.0, 77.24, 0.12; GCA_001578865.1, s__Streptococcus sp001578865, 95.0, 77.2, 0.06; GCF_000375505.1, s__Streptococcus mutans, 95.0, 77.19, 0.15; GCF_000380045.1, s__Streptococcus marimammalium, 95.0, 77.12, 0.09; GCF_000380025.1, s__Streptococcus entericus, 95.0, 77.11, 0.07; GCA_000180055.1, s__Streptococcus downei, 95.0, 77.1, 0.13; GCF_000187995.2, s__Streptococcus macacae, 95.0, 77.06, 0.09; GCF_001642085.1, s__Streptococcus pantholopis, 95.0, 76.79, 0.06; GCA_003086355.1, s__Streptococcus sp003086355, 95.0, 76.21, 0.06	68.67	11	N/A	N/A
G6_2.bin.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325	GCA_900316325.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325	98.33	0.77	GCA_900316325.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325	98.33	0.77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000146185.1, s__Lachnospira eligens, 95.63, 79.51, 0.33; GCA_003451515.1, s__Lachnospira sp003451515, 95.0, 79.19, 0.29; GCF_900112995.1, s__Lachnospira rogosae, 95.0, 79.07, 0.3; GCA_000434415.1, s__Lachnospira eligens_B, 95.63, 78.85, 0.28; GCA_000436475.1, s__Lachnospira sp000436475, 95.0, 78.83, 0.29; GCA_003537285.1, s__Lachnospira sp003537285, 95.36, 78.72, 0.32; GCF_900103815.1, s__Lachnospira pectinoschiza, 95.56, 78.54, 0.12; GCA_000436535.1, s__Lachnospira sp000436535, 95.0, 78.5, 0.29; GCA_000437735.1, s__Lachnospira sp000437735, 95.0, 78.29, 0.24; GCF_000702205.1, s__Lachnospira multipara_A, 95.0, 78.12, 0.16; GCF_000424105.1, s__Lachnospira multipara, 95.56, 77.9, 0.14; GCA_002435585.1, s__Lachnospira sp002435585, 95.0, 77.74, 0.23; GCA_002394205.1, s__Lachnospira sp002394205, 95.0, 77.68, 0.17	75.91	11	N/A	N/A
G6_2.bin.21	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp000417505	GCF_000417505.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp000417505	99.32	0.93	GCF_000417505.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp000417505	99.32	0.93	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003010495.1, s__Megasphaera elsdenii, 95.0, 91.1, 0.89; GCF_001546855.1, s__Megasphaera sp001546855, 95.0, 83.03, 0.71; GCA_002319965.1, s__Megasphaera sp002319965, 95.0, 82.6, 0.66; GCF_000455225.1, s__Megasphaera massiliensis, 95.0, 82.46, 0.73; GCA_900066485.1, s__Megasphaera sp900066485, 95.0, 79.99, 0.51; GCA_002431345.1, s__Megasphaera sp002431345, 95.0, 78.61, 0.28; GCF_001045675.1, s__Megasphaera cerevisiae, 95.0, 78.07, 0.19	97.52	11	N/A	N/A
G6_2.bin.5	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GCF_000010425.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	98.07	0.9	GCF_000010425.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	98.07	0.9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000770925.1, s__Bifidobacterium ruminantium, 95.0, 89.12, 0.8; GCF_001025195.1, s__Bifidobacterium catenulatum, 96.36, 84.58, 0.72; GCF_001042615.1, s__Bifidobacterium kashiwanohense, 96.36, 84.58, 0.7; GCF_001025215.1, s__Bifidobacterium pseudocatenulatum, 95.0, 84.44, 0.73; GCA_002451435.1, s__Bifidobacterium sp002451435, 95.0, 84.28, 0.68; GCF_002742445.1, s__Bifidobacterium sp002742445, 95.0, 84.22, 0.69; GCF_000800455.1, s__Bifidobacterium kashiwanohense_A, 95.2, 84.08, 0.7; GCF_000522505.1, s__Bifidobacterium moukalabense, 95.0, 83.43, 0.72; GCF_001042595.1, s__Bifidobacterium dentium, 95.0, 83.19, 0.69; GCF_900129045.1, s__Bifidobacterium merycicum, 95.0, 82.58, 0.6; GCF_001025155.1, s__Bifidobacterium angulatum, 95.0, 82.52, 0.56; GCF_002860365.1, s__Bifidobacterium parmae, 95.0, 81.4, 0.56; GCF_003129905.1, s__Bifidobacterium callitrichidarum, 95.0, 81.35, 0.53; GCF_000741785.1, s__Bifidobacterium stellenboschense, 95.0, 81.29, 0.55; GCF_000269965.1, s__Bifidobacterium infantis, 95.0, 81.22, 0.54; GCF_000741165.1, s__Bifidobacterium biavatii, 95.0, 81.21, 0.55; GCF_001417815.1, s__Bifidobacterium aesculapii, 95.0, 81.18, 0.51; GCF_000196555.1, s__Bifidobacterium longum, 95.0, 81.18, 0.52; GCF_002259685.1, s__Bifidobacterium eulemuris, 95.0, 81.17, 0.56; GCF_003024955.1, s__Bifidobacterium callitrichos_A, 95.0, 81.13, 0.52; GCF_001895165.1, s__Bifidobacterium lemurum, 95.0, 81.07, 0.54; GCF_000741175.1, s__Bifidobacterium callitrichos, 95.0, 81.06, 0.56; GCF_001042635.1, s__Bifidobacterium scardovii, 95.0, 81.01, 0.58; GCF_001025175.1, s__Bifidobacterium breve, 95.0, 80.95, 0.45; GCF_001025135.1, s__Bifidobacterium bifidum, 95.0, 80.86, 0.49; GCF_002234915.1, s__Bifidobacterium vansinderenii, 95.0, 80.85, 0.47; GCF_000741215.1, s__Bifidobacterium gallinarum, 95.0, 80.83, 0.49; GCF_002802915.1, s__Bifidobacterium sp002802915, 95.0, 80.8, 0.46; GCF_002802905.1, s__Bifidobacterium sp002802905, 95.0, 80.78, 0.47; GCF_000771405.1, s__Bifidobacterium pullorum, 95.0, 80.76, 0.49; GCF_002802875.1, s__Bifidobacterium sp002802875, 95.0, 80.73, 0.46; GCF_002259745.1, s__Bifidobacterium myosotis, 95.0, 80.69, 0.56; GCF_000741695.1, s__Bifidobacterium reuteri, 95.0, 80.65, 0.51; GCF_002860405.1, s__Bifidobacterium imperatoris, 95.0, 80.55, 0.42; GCF_000741715.1, s__Bifidobacterium saguini, 95.0, 80.55, 0.43; GCF_003129925.1, s__Bifidobacterium catulorum, 95.0, 80.45, 0.41; GCF_002860355.1, s__Bifidobacterium margollesii, 95.0, 80.37, 0.43; GCF_002802865.1, s__Bifidobacterium sp002802865, 95.0, 80.37, 0.43; GCF_002259645.1, s__Bifidobacterium tissieri, 95.0, 80.34, 0.41; GCA_002298605.1, s__Bifidobacterium sp002298605, 95.0, 80.13, 0.4; GCF_000741455.1, s__Bifidobacterium thermacidophilum, 95.0, 80.12, 0.42; GCF_000741535.1, s__Bifidobacterium boum, 95.0, 79.85, 0.39; GCF_000741495.1, s__Bifidobacterium thermophilum, 95.0, 79.76, 0.4; GCF_000741575.1, s__Bifidobacterium cuniculi, 95.0, 79.75, 0.43; GCF_002286915.1, s__Bifidobacterium italicum, 95.0, 79.66, 0.41; GCF_000741135.1, s__Bifidobacterium choerinum, 95.0, 79.65, 0.44; GCF_000741295.1, s__Bifidobacterium pseudolongum_A, 95.0, 79.58, 0.41; GCF_000741255.1, s__Bifidobacterium magnum, 95.0, 79.57, 0.35; GCF_000771225.1, s__Bifidobacterium pseudolongum, 95.0, 79.53, 0.39; GCF_002860345.1, s__Bifidobacterium anseris, 95.0, 79.4, 0.43; GCF_002259755.1, s__Bifidobacterium hapali, 95.0, 79.08, 0.29; GCF_000260715.1, s__Bifidobacterium animalis, 95.0, 79.0, 0.38; GCF_000741775.1, s__Bifidobacterium subtile, 95.0, 78.97, 0.39; GCF_000741285.1, s__Bifidobacterium mongoliense, 95.0, 78.94, 0.33; GCF_002286935.1, s__Bifidobacterium criceti, 95.0, 78.68, 0.38; GCF_000741205.1, s__Bifidobacterium gallicum, 95.0, 78.67, 0.26; GCF_001042655.1, s__Bifidobacterium vaginale, 95.0, 78.5, 0.04; GCF_000263635.1, s__Bifidobacterium vaginale_C, 95.0, 78.37, 0.05; GCF_001263395.1, s__Bifidobacterium actinocoloniiforme, 95.0, 78.06, 0.18; GCF_000741645.1, s__Bifidobacterium minimum, 95.0, 77.94, 0.24; GCF_002896555.1, s__Bifidobacterium vaginale_F, 95.0, 77.92, 0.06; GCF_000741765.1, s__Bifidobacterium tsurumiense, 95.0, 77.91, 0.2; GCF_000967185.1, s__Bifidobacterium asteroides_B, 95.0, 77.89, 0.18; GCF_003202755.1, s__Bifidobacterium asteroides_F, 95.0, 77.86, 0.17; GCF_000741525.1, s__Bifidobacterium bohemicum, 95.0, 77.85, 0.23; GCF_900094885.1, s__Bifidobacterium commune, 95.0, 77.84, 0.17; GCF_002715865.1, s__Bifidobacterium asteroides, 95.0, 77.84, 0.16; GCF_001563665.1, s__Bifidobacterium vaginale_A, 95.0, 77.8, 0.05; GCF_000499285.1, s__Bifidobacterium sp000499285, 95.0, 77.79, 0.16; GCF_000738005.1, s__Bifidobacterium crudilactis, 95.0, 77.72, 0.19; GCF_000706765.1, s__Bifidobacterium indicum, 95.0, 77.7, 0.16; GCF_000499185.1, s__Bifidobacterium sp000499185, 95.0, 77.69, 0.17; GCF_001546455.1, s__Bifidobacterium vaginale_B, 95.0, 77.64, 0.06; GCF_000263595.1, s__Bifidobacterium vaginale_E, 95.0, 77.6, 0.06; GCF_003202715.1, s__Bifidobacterium asteroides_E, 95.0, 77.57, 0.17; GCF_000967265.1, s__Bifidobacterium asteroides_A, 95.0, 77.57, 0.19; GCF_000741705.1, s__Bifidobacterium psychraerophilum, 95.0, 77.49, 0.21; GCF_000025205.1, s__Bifidobacterium vaginale_G, 95.0, 77.47, 0.06; GCF_002884815.1, s__Bifidobacterium lacrimalis, 95.0, 77.46, 0.06; GCF_001546485.1, s__Bifidobacterium vaginale_D, 95.0, 77.44, 0.05; GCF_000737845.1, s__Bifidobacterium bombi, 95.0, 77.28, 0.13; GCF_003202695.1, s__Bifidobacterium asteroides_G, 95.0, 77.28, 0.15; GCF_002259585.1, s__Bifidobacterium coagulans, 95.0, 77.01, 0.04; GCF_002259795.1, s__Bifidobacterium aquikefiri, 95.0, 76.88, 0.08	90.56	11	N/A	N/A
G7_2.bin.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	GCF_001405555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	97.8	0.93	GCF_001405555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	97.8	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.08	11	N/A	N/A
